user_id,item_id,cat_id,seller_id,brand_id,action_type,time
328862,323294,833,2882,2661.0,0,2018-08-29 17:17:22.300959410
328862,623866,1271,2882,2661.0,0,2018-08-29 20:59:58.841378430
328862,239288,602,420,4953.0,0,2018-08-01 19:20:06.479644547
328862,197239,602,420,4953.0,0,2018-08-01 17:25:58.912202131
328862,524981,664,2382,1272.0,0,2018-06-02 11:00:51.123221777
328862,963870,267,3073,8126.0,2,2018-08-05 20:05:11.133293715
328862,943106,662,3354,883.0,0,2018-05-26 19:28:14.277231067
328862,81766,614,4605,7622.0,2,2018-08-01 09:27:13.308466863
328862,815434,602,420,4953.0,0,2018-08-01 20:10:49.750381298
328862,1089499,154,883,1647.0,0,2018-08-29 10:32:02.810711209
328862,1064265,614,4605,7622.0,0,2018-07-09 20:52:26.014536386
328862,267067,1208,1200,2276.0,0,2018-09-08 12:44:02.636418481
328862,698158,1505,3828,1446.0,0,2018-05-26 17:19:08.052941300
328862,751744,602,420,4953.0,0,2018-08-01 14:24:08.886957931
328862,1021873,1271,2882,2661.0,0,2018-08-29 15:19:58.135833598
328862,575153,1271,2882,2661.0,0,2018-08-29 21:44:58.534808166
328862,364513,1271,2882,2661.0,0,2018-08-29 13:12:17.863243458
328862,439895,1467,1253,328.0,0,2018-08-29 21:38:00.875768725
328862,832524,1467,2882,2661.0,0,2018-08-29 07:06:40.362948642
328862,42828,1397,3354,883.0,0,2018-06-15 12:35:27.809083090
328862,251929,1438,639,1565.0,0,2018-10-02 04:45:11.842489385
328862,484676,267,3073,8126.0,2,2018-10-02 22:43:53.586481220
328862,267067,1208,1200,2276.0,0,2018-09-06 19:41:35.691989108
328862,609965,1118,167,6065.0,0,2018-07-23 18:20:39.991746953
328862,359016,1271,4438,2427.0,0,2018-06-20 18:10:33.520093699
328862,488385,833,1692,2235.0,0,2018-06-19 21:40:16.818808313
328862,258882,1142,1138,4104.0,0,2018-11-02 14:50:49.813515685
328862,1026544,1467,437,801.0,0,2018-07-27 22:32:14.563817069
328862,428643,662,461,1859.0,0,2018-07-27 22:24:00.667670413
328862,629649,662,461,1859.0,0,2018-07-27 16:11:51.854616675
328862,294555,267,1867,3243.0,0,2018-10-26 20:42:50.407235200
328862,702304,821,1138,4104.0,0,2018-08-23 18:10:32.741962584
328862,257104,1397,1138,4104.0,0,2018-08-20 17:59:32.511573543
328862,1094497,407,4109,511.0,0,2018-07-08 14:02:35.110957514
328862,1094497,407,4109,511.0,0,2018-07-08 03:17:32.011304352
328862,406349,1280,2700,5476.0,0,2018-11-11 18:59:48.378575636
328862,896776,407,4109,511.0,0,2018-07-08 14:51:50.119592720
328862,406349,1280,2700,5476.0,0,2018-11-11 18:21:08.158534803
